"","psraid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","smsa","susr","igender","irace","iloc","form","llitext0","llitext","cpitext0","cpitext","qs1","thought","campnii","reg","precinct","folgov","q5","q5a","q5horse","q5b","q7","q8","swing","swingdet","oftvote","planto1","planto2","q15a","q15b","q15c","q15d","q20","q21","q22","q26a","q26b","q26c","q26d","q26e","q26f","q26g","q27a","q27b","q27c","q27d","q27e","q27f","q28","q34","q35af1","q35bf1","q35cf1","q35df1","q35ff1","q35gf1","q35h","q35if2","q35jf2","q35kf2","q35mf2","q35nf2","q39","q40f1","q42f1","q43f2","q52","q56","q57f1","q58f1","q59f2","q60f2","q61","q61a","q62","q63","q64a","q64b","q64c","q65a","q65b","q65c","q66a","q66b","q66c","q67a","q67b","q67c","q67d","q68","q69","sex","age","educ2","hisp","race3m1","race3m2","race3m3","race3m4","racecmb","racethn","birth_hisp","relig","chr","born","attend","income","party","partyln","partyid","ideo","teaparty2","pvote08a","pvote08b","scale10","hh1","hh3","ql1","ql1a","qc1","lc2","lc3","money2","phoneuse","lvs7","battle","llweight","coweight","lvs7wt64","unlvs7wt64","weight"
"1",100001,"Landline",100412,121004,1,"No","English","Northeast","Massachusetts",1,"S","Northeast","Massachusetts",44140,"S","Female","White","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Fairly closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Very favorable","Mostly unfavorable","Very favorable","Very unfavorable","Yes, all","Mitt Romney","Mostly confusing","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better","Disapprove","Disapprove","Disapprove","Disapprove","Disapprove","Disapprove","Approve",NA,NA,NA,NA,NA,"About right","Fairly well","Remove troops",NA,"To take a firm stand against Iranian actions","Getting tougher with China on economic issues","Yes, will lead to lasting improvements","Will be good for the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","Don’t trust him personally",NA,"Female",61,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","Seldom","40 to under $50,000","Independent","Democrat","Democrat","Liberal","Disagree","Voted","Obama",10,1,NA,"Yes, have cell phone",NA,NA,"Some on a cell phone and some on a regular home phone",NA,NA,"Dual/few, some cell",7,"Democratic states",1.58333333333333,1,1,0,1
"2",100004,"Landline",100412,121004,1,"No","English","South","Maryland",1,"R","South","Maryland",0,"R","Female","Hispanic","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"Quite a lot","Fairly closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","(VOL.) Refused","(VOL.) Refused","DK/Refused to lean",NA,"Chance might vote for him","Chance might vote for him","Other/Undecided","Other/Refused to lean/Undecided","Always","Yes","Absolutely certain","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Yes, all","Mitt Romney","Mostly confusing","Mitt Romney","Barack Obama","Mitt Romney","Barack Obama","(VOL.) Neither","Mitt Romney","Barack Obama","Mitt Romney","Barack Obama","Mitt Romney","(VOL.) Neither","Barack Obama","Barack Obama","Mitt Romney","Worse","Disapprove","Disapprove","Disapprove","Disapprove","Approve","Approve","Disapprove",NA,NA,NA,NA,NA,"About right","Not too well","Keep troops in Afghanistan",NA,"To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues","No, will not lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"Yes","(VOL.) Don't know/Refused","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","No, would not","No, would not","Yes, would help","No, would not","Mitt Romney","Mitt Romney","Mitt Romney","Agree","Agree","Agree","Disagree","Don’t trust him personally","Disagree with him on issues","Male",53,"High school graduate (Grade 12 with diploma or GED certificate)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","A few times a year","30 to under $40,000","Republican",NA,"Republican","Conservative","No opinion either way","Voted","McCain",10,1,NA,"No, do not",NA,NA,NA,NA,NA,"LLO",7,"Democratic states",7.41666666666667,4.26086956521739,5.58333333333333,0,5.58333333333333
"3",100009,"Landline",100512,121004,2,"No","English","South","Georgia",4,"S","South","Georgia",12060,"S","Female","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Little","Not too closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Hardly at all","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Mostly favorable","Mostly unfavorable","Very unfavorable","Very unfavorable","No, didn’t watch","(VOL.) Don't know/Refused",NA,"Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","Disapprove","Approve","Approve","Disapprove","Too supportive",NA,NA,"About right","To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues",NA,NA,"(VOL.) Neither/As involved as we should be","Democratic governments, even if there is less stability in the region","Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","Don’t trust him personally",NA,"Male",58,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","Seldom","100 to under $150,000","Independent","Democrat","Democrat","Liberal","No opinion either way","Voted","Obama",10,2,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",5,"Republican states",10.0833333333333,6.82608695652174,2.91666666666667,0,2.91666666666667
"4",100010,"Landline",100612,121004,6,"No","English","Midwest","Ohio",5,"U","Midwest","Ohio",18140,"U","Female","Some other race","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Very favorable","Very unfavorable","(VOL.) Never heard of","(VOL.) Never heard of","Yes, all","Barack Obama","Mostly informative","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","No effect so far",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","Disapprove","Approve","Approve","Approve","Too supportive",NA,NA,"About right","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Democratic governments, even if there is less stability in the region","Yes","(VOL.) Don't know/Refused","Very serious problem","(VOL.) Don't know/Refused","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Agree","Don’t trust him personally",NA,"Female",65,"High school graduate (Grade 12 with diploma or GED certificate)","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","A few times a year","Less than $10,000","Democrat",NA,"Democrat","Conservative","No opinion either way","Voted","Obama",10,1,NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,NA,"Dual/few, some cell",7,"Battleground states",2.25,1.82608695652174,1.625,0,1.625
"5",100020,"Landline",100412,121004,1,"No","English","South","Florida",4,"S","South","Florida",45300,"S","Male","Some other race","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"Quite a lot","Fairly closely","NOT registered to vote at your current address",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very favorable","Very unfavorable","Very favorable","(VOL.) Never heard of","Yes, some","Barack Obama","Mostly informative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Better","Disapprove","Disapprove","Approve","(VOL.) Don't know/Refused","Disapprove","Disapprove","Disapprove",NA,NA,NA,NA,NA,"Not supportive enough","Not too well","Keep troops in Afghanistan",NA,"To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues","(VOL.) Don't know/Refused","Will be bad for the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Somewhat serious","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",57,"High school incomplete (Grades 9-11 or Grade 12 with NO diploma)","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","Seldom","10 to under $20,000","Democrat",NA,"Democrat","Moderate","No opinion either way","Voted","Obama",NA,3,3,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",0,"Battleground states",6.25,9.1304347826087,0,4.54166666666667,4.54166666666667
"6",100022,"Landline",100412,121004,1,"No","English","Northeast","Connecticut",4,"U","Northeast","Connecticut",35300,"U","Female","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"(VOL.) None","Not at all closely","NOT registered to vote at your current address",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly unfavorable","Very favorable","Very unfavorable","No, didn’t watch","Mitt Romney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","Approve","Disapprove","Approve","Approve","Not supportive enough",NA,NA,"Not quickly enough","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","Yes","Mostly because of natural patterns in the earth’s environment","Very serious problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","No, would not","No, would not","No, would not","Yes, would help",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",45,"High school graduate (Grade 12 with diploma or GED certificate)","No","(VOL.) Native American/American Indian/Alaska Native",NA,NA,NA,"Some other race","Other",NA,"Nothing in particular",NA,NA,"Never","30 to under $40,000","Independent","Democrat","Democrat","Very liberal","Disagree","Did not vote (includes too young to vote)",NA,NA,3,3,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",0,"Democratic states",10.0833333333333,5.56521739130435,0,4.16666666666667,4.16666666666667
"7",100025,"Landline",100712,121004,3,"Yes","English","Northeast","New York",4,"S","Northeast","New York",40380,"S","Male","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Some of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Mostly favorable","Mostly unfavorable","Mostly favorable","Very unfavorable","Yes, all","Barack Obama","Mostly confusing","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Mitt Romney","(VOL.) Don't know/Refused","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","Disapprove","Approve","Approve","Disapprove","About right",NA,NA,"About right","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","Yes","Mostly because of natural patterns in the earth’s environment","Somewhat serious","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","(VOL.) Don't know/Refused","(VOL.) Both equally",NA,"Female",81,"High school graduate (Grade 12 with diploma or GED certificate)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","Once or twice a month","(VOL.) Don't know/Refused","Democrat",NA,"Democrat","Moderate","Disagree","Voted","Obama",10,1,NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,NA,"Dual/few, some cell",7,"Democratic states",3.5,2,1.75,0,1.75
"8",100026,"Landline",100412,121004,1,"No","English","South","Florida",2,"S","South","Florida",38940,"S","Female","Black or African-American","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Very favorable","Very unfavorable","Very favorable","Very unfavorable","Yes, all","Mitt Romney","Mostly confusing","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better","Disapprove","Approve","Disapprove","Disapprove","Approve","Approve","Approve",NA,NA,NA,NA,NA,"About right","Not at all well","Remove troops",NA,"To avoid a military conflict with Iran","Building a stronger relationship with China on economic issues","Yes, will lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","Don’t trust him personally",NA,"Female",80,"High school graduate (Grade 12 with diploma or GED certificate)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","Never","10 to under $20,000","Democrat",NA,"Democrat","Moderate","Disagree","Voted","Obama",10,1,NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,NA,"Dual/few, some cell",7,"Battleground states",1.75,1.60869565217391,1.41666666666667,0,1.41666666666667
"9",100028,"Landline",100412,121004,1,"No","English","Northeast","New York",1,"R","Northeast","New York",0,"R","Male","White","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Mostly unfavorable","Mostly favorable","Very unfavorable","Mostly unfavorable","No, didn’t watch","Mitt Romney",NA,"Mitt Romney","(VOL.) Don't know/Refused","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","No effect so far",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","Disapprove","Disapprove","Disapprove","Approve","Not supportive enough",NA,NA,"Not quickly enough","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"More involved","Democratic governments, even if there is less stability in the region","No",NA,"Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","No, would not","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Don’t trust him personally","Male",84,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"Yes, would","More than once a week","20 to under $30,000","Republican",NA,"Republican","Conservative","(VOL.) Refused","Voted","McCain",10,1,NA,"No, do not",NA,NA,NA,NA,NA,"LLO",7,"Democratic states",1,1,1.20833333333333,0,1.20833333333333
"10",100031,"Landline",100412,121004,1,"No","English","Northeast","New York",5,"S","Northeast","New York",35620,"S","Female","Black or African-American","PDS - Virginia","Form 2","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Very unfavorable","Very favorable","Very unfavorable","Very favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","Disapprove","Approve","Disapprove","Disapprove","Not supportive enough",NA,NA,"Not quickly enough","To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues",NA,NA,"Less involved","Democratic governments, even if there is less stability in the region","Yes","Mostly because of natural patterns in the earth’s environment","Not a problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","No, would not","Yes, would help","No, would not","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Agree","Agree","Disagree",NA,"Disagree with him on issues","Male",80,"Two year associate degree from any college or university","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","Once or twice a month","30 to under $40,000","Independent","Republican","Republican","Moderate","Agree","Voted","McCain",10,7,5,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",7,"Democratic states",4.58333333333333,6.39130434782609,4.16666666666667,0,4.16666666666667
