year,month,oilgas_emp,N,state
2003,1,676,"657","ALABAMA"
2003,2,676,"657","ALABAMA"
2003,3,676,"657","ALABAMA"
2003,4,665,"657","ALABAMA"
2003,5,662,"657","ALABAMA"
2003,6,657,"657","ALABAMA"
2003,7,652,"657","ALABAMA"
2003,8,652,"657","ALABAMA"
2003,9,649,"657","ALABAMA"
2003,10,643,"657","ALABAMA"
2003,11,639,"657","ALABAMA"
2003,12,633,"657","ALABAMA"
2004,1,584,"595","ALABAMA"
2004,2,597,"595","ALABAMA"
2004,3,589,"595","ALABAMA"
2004,4,586,"595","ALABAMA"
2004,5,589,"595","ALABAMA"
2004,6,591,"595","ALABAMA"
2004,7,595,"595","ALABAMA"
2004,8,595,"595","ALABAMA"
2004,9,593,"595","ALABAMA"
2004,10,600,"595","ALABAMA"
2004,11,609,"595","ALABAMA"
2004,12,617,"595","ALABAMA"
2005,1,617,"620","ALABAMA"
2005,2,614,"620","ALABAMA"
2005,3,603,"620","ALABAMA"
2005,4,602,"620","ALABAMA"
2005,5,602,"620","ALABAMA"
2005,6,615,"620","ALABAMA"
2005,7,628,"620","ALABAMA"
2005,8,625,"620","ALABAMA"
2005,9,623,"620","ALABAMA"
2005,10,634,"620","ALABAMA"
2005,11,635,"620","ALABAMA"
2005,12,641,"620","ALABAMA"
2006,1,614,"666","ALABAMA"
2006,2,609,"666","ALABAMA"
2006,3,604,"666","ALABAMA"
2006,4,633,"666","ALABAMA"
2006,5,649,"666","ALABAMA"
2006,6,640,"666","ALABAMA"
2006,7,644,"666","ALABAMA"
2006,8,685,"666","ALABAMA"
2006,9,716,"666","ALABAMA"
2006,10,724,"666","ALABAMA"
2006,11,733,"666","ALABAMA"
2006,12,736,"666","ALABAMA"
2007,1,,"769","ALABAMA"
2007,2,,"769","ALABAMA"
2007,3,,"769","ALABAMA"
2007,4,788,"769","ALABAMA"
2007,5,807,"769","ALABAMA"
2007,6,772,"769","ALABAMA"
2007,7,806,"769","ALABAMA"
2007,8,809,"769","ALABAMA"
2007,9,776,"769","ALABAMA"
2007,10,,"769","ALABAMA"
2007,11,,"769","ALABAMA"
2007,12,,"769","ALABAMA"
2008,1,764,"759","ALABAMA"
2008,2,780,"759","ALABAMA"
2008,3,762,"759","ALABAMA"
2008,4,774,"759","ALABAMA"
2008,5,762,"759","ALABAMA"
2008,6,751,"759","ALABAMA"
2008,7,743,"759","ALABAMA"
2008,8,758,"759","ALABAMA"
2008,9,758,"759","ALABAMA"
2008,10,758,"759","ALABAMA"
2008,11,744,"759","ALABAMA"
2008,12,751,"759","ALABAMA"
2009,1,756,"750","ALABAMA"
2009,2,755,"750","ALABAMA"
2009,3,736,"750","ALABAMA"
2009,4,726,"750","ALABAMA"
2009,5,740,"750","ALABAMA"
2009,6,735,"750","ALABAMA"
2009,7,738,"750","ALABAMA"
2009,8,737,"750","ALABAMA"
2009,9,761,"750","ALABAMA"
2009,10,777,"750","ALABAMA"
2009,11,779,"750","ALABAMA"
2009,12,763,"750","ALABAMA"
2010,1,732,"779","ALABAMA"
2010,2,762,"779","ALABAMA"
2010,3,794,"779","ALABAMA"
2010,4,805,"779","ALABAMA"
2010,5,797,"779","ALABAMA"
2010,6,802,"779","ALABAMA"
2010,7,753,"779","ALABAMA"
2010,8,778,"779","ALABAMA"
2010,9,752,"779","ALABAMA"
2010,10,775,"779","ALABAMA"
2010,11,796,"779","ALABAMA"
2010,12,797,"779","ALABAMA"
2011,1,787,"801","ALABAMA"
2011,2,792,"801","ALABAMA"
2011,3,773,"801","ALABAMA"
2011,4,768,"801","ALABAMA"
2011,5,785,"801","ALABAMA"
2011,6,781,"801","ALABAMA"
2011,7,848,"801","ALABAMA"
2011,8,852,"801","ALABAMA"
2011,9,834,"801","ALABAMA"
2011,10,805,"801","ALABAMA"
2011,11,784,"801","ALABAMA"
2011,12,797,"801","ALABAMA"
2012,1,777,"756","ALABAMA"
2012,2,759,"756","ALABAMA"
2012,3,724,"756","ALABAMA"
2012,4,741,"756","ALABAMA"
2012,5,740,"756","ALABAMA"
2012,6,745,"756","ALABAMA"
2012,7,783,"756","ALABAMA"
2012,8,760,"756","ALABAMA"
2012,9,759,"756","ALABAMA"
2012,10,768,"756","ALABAMA"
2012,11,755,"756","ALABAMA"
2012,12,756,"756","ALABAMA"
2013,1,712,"","ALABAMA"
2013,2,699,"","ALABAMA"
2013,3,710,"","ALABAMA"
2013,4,,"","ALABAMA"
2013,5,,"","ALABAMA"
2013,6,,"","ALABAMA"
2013,7,,"","ALABAMA"
2013,8,,"","ALABAMA"
2013,9,,"","ALABAMA"
2013,10,,"","ALABAMA"
2013,11,,"","ALABAMA"
2013,12,,"","ALABAMA"
2003,1,2584,"2550","ALASKA"
2003,2,2591,"2550","ALASKA"
2003,3,2564,"2550","ALASKA"
2003,4,2530,"2550","ALASKA"
2003,5,2538,"2550","ALASKA"
2003,6,2573,"2550","ALASKA"
2003,7,2566,"2550","ALASKA"
2003,8,2554,"2550","ALASKA"
2003,9,2517,"2550","ALASKA"
2003,10,2535,"2550","ALASKA"
2003,11,2523,"2550","ALASKA"
2003,12,2525,"2550","ALASKA"
2004,1,2472,"2521","ALASKA"
2004,2,2481,"2521","ALASKA"
2004,3,2472,"2521","ALASKA"
2004,4,2471,"2521","ALASKA"
2004,5,2458,"2521","ALASKA"
2004,6,2523,"2521","ALASKA"
2004,7,2537,"2521","ALASKA"
2004,8,2561,"2521","ALASKA"
2004,9,2522,"2521","ALASKA"
2004,10,2560,"2521","ALASKA"
2004,11,2587,"2521","ALASKA"
2004,12,2604,"2521","ALASKA"
2005,1,2593,"2634","ALASKA"
2005,2,2604,"2634","ALASKA"
2005,3,2591,"2634","ALASKA"
2005,4,2586,"2634","ALASKA"
2005,5,2582,"2634","ALASKA"
2005,6,2659,"2634","ALASKA"
2005,7,2663,"2634","ALASKA"
2005,8,2660,"2634","ALASKA"
2005,9,2640,"2634","ALASKA"
2005,10,2660,"2634","ALASKA"
2005,11,2662,"2634","ALASKA"
2005,12,2704,"2634","ALASKA"
2006,1,2713,"2890","ALASKA"
2006,2,2754,"2890","ALASKA"
2006,3,2764,"2890","ALASKA"
2006,4,2815,"2890","ALASKA"
2006,5,2839,"2890","ALASKA"
2006,6,2925,"2890","ALASKA"
2006,7,2933,"2890","ALASKA"
2006,8,2964,"2890","ALASKA"
2006,9,2962,"2890","ALASKA"
2006,10,2980,"2890","ALASKA"
2006,11,3004,"2890","ALASKA"
2006,12,3028,"2890","ALASKA"
2007,1,3046,"3245","ALASKA"
2007,2,3120,"3245","ALASKA"
2007,3,3141,"3245","ALASKA"
2007,4,3155,"3245","ALASKA"
2007,5,3208,"3245","ALASKA"
2007,6,3313,"3245","ALASKA"
2007,7,3358,"3245","ALASKA"
2007,8,3358,"3245","ALASKA"
2007,9,3294,"3245","ALASKA"
2007,10,3299,"3245","ALASKA"
2007,11,3311,"3245","ALASKA"
2007,12,3336,"3245","ALASKA"
2008,1,3360,"3522","ALASKA"
2008,2,3396,"3522","ALASKA"
2008,3,3434,"3522","ALASKA"
2008,4,3445,"3522","ALASKA"
2008,5,3451,"3522","ALASKA"
2008,6,3521,"3522","ALASKA"
2008,7,3613,"3522","ALASKA"
2008,8,3634,"3522","ALASKA"
2008,9,3589,"3522","ALASKA"
2008,10,3602,"3522","ALASKA"
2008,11,3597,"3522","ALASKA"
2008,12,3623,"3522","ALASKA"
2009,1,3611,"3606","ALASKA"
2009,2,3618,"3606","ALASKA"
2009,3,3628,"3606","ALASKA"
2009,4,3624,"3606","ALASKA"
2009,5,3619,"3606","ALASKA"
2009,6,3631,"3606","ALASKA"
2009,7,3674,"3606","ALASKA"
2009,8,3642,"3606","ALASKA"
2009,9,3596,"3606","ALASKA"
2009,10,3544,"3606","ALASKA"
2009,11,3527,"3606","ALASKA"
2009,12,3553,"3606","ALASKA"
2010,1,3529,"3551","ALASKA"
2010,2,3524,"3551","ALASKA"
2010,3,3525,"3551","ALASKA"
2010,4,3527,"3551","ALASKA"
2010,5,3525,"3551","ALASKA"
2010,6,3611,"3551","ALASKA"
2010,7,3612,"3551","ALASKA"
2010,8,3586,"3551","ALASKA"
2010,9,3561,"3551","ALASKA"
2010,10,3536,"3551","ALASKA"
2010,11,3536,"3551","ALASKA"
2010,12,3539,"3551","ALASKA"
2011,1,3535,"3625","ALASKA"
2011,2,3555,"3625","ALASKA"
2011,3,3573,"3625","ALASKA"
2011,4,3546,"3625","ALASKA"
2011,5,3562,"3625","ALASKA"
2011,6,3666,"3625","ALASKA"
2011,7,3676,"3625","ALASKA"
2011,8,3676,"3625","ALASKA"
2011,9,3657,"3625","ALASKA"
2011,10,3655,"3625","ALASKA"
2011,11,3684,"3625","ALASKA"
2011,12,3710,"3625","ALASKA"
2012,1,3756,"3890","ALASKA"
2012,2,3643,"3890","ALASKA"
2012,3,3671,"3890","ALASKA"
2012,4,3830,"3890","ALASKA"
2012,5,3844,"3890","ALASKA"
2012,6,3961,"3890","ALASKA"
2012,7,4004,"3890","ALASKA"
2012,8,4029,"3890","ALASKA"
2012,9,3969,"3890","ALASKA"
2012,10,3978,"3890","ALASKA"
2012,11,4020,"3890","ALASKA"
2012,12,3976,"3890","ALASKA"
2013,1,3980,"","ALASKA"
2013,2,4034,"","ALASKA"
2013,3,4036,"","ALASKA"
2013,4,,"","ALASKA"
2013,5,,"","ALASKA"
2013,6,,"","ALASKA"
2013,7,,"","ALASKA"
2013,8,,"","ALASKA"
2013,9,,"","ALASKA"
2013,10,,"","ALASKA"
2013,11,,"","ALASKA"
2013,12,,"","ALASKA"
2003,1,,"","ARIZONA"
2003,2,,"","ARIZONA"
2003,3,,"","ARIZONA"
2003,4,,"","ARIZONA"
2003,5,,"","ARIZONA"
2003,6,,"","ARIZONA"
2003,7,,"","ARIZONA"
2003,8,,"","ARIZONA"
2003,9,,"","ARIZONA"
2003,10,,"","ARIZONA"
2003,11,,"","ARIZONA"
2003,12,,"","ARIZONA"
2004,1,,"","ARIZONA"
2004,2,,"","ARIZONA"
2004,3,,"","ARIZONA"
2004,4,,"","ARIZONA"
2004,5,,"","ARIZONA"
2004,6,,"","ARIZONA"
2004,7,,"","ARIZONA"
2004,8,,"","ARIZONA"
2004,9,,"","ARIZONA"
2004,10,,"","ARIZONA"
2004,11,,"","ARIZONA"
2004,12,,"","ARIZONA"
2005,1,4,"3","ARIZONA"
2005,2,4,"3","ARIZONA"
2005,3,4,"3","ARIZONA"
2005,4,,"3","ARIZONA"
2005,5,,"3","ARIZONA"
2005,6,,"3","ARIZONA"
2005,7,,"3","ARIZONA"
2005,8,,"3","ARIZONA"
2005,9,,"3","ARIZONA"
2005,10,3,"3","ARIZONA"
2005,11,3,"3","ARIZONA"
2005,12,5,"3","ARIZONA"
2006,1,,"3","ARIZONA"
2006,2,,"3","ARIZONA"
2006,3,,"3","ARIZONA"
2006,4,,"3","ARIZONA"
2006,5,,"3","ARIZONA"
2006,6,,"3","ARIZONA"
2006,7,,"3","ARIZONA"
2006,8,,"3","ARIZONA"
2006,9,,"3","ARIZONA"
2006,10,3,"3","ARIZONA"
2006,11,3,"3","ARIZONA"
2006,12,5,"3","ARIZONA"
2007,1,,"4","ARIZONA"
2007,2,,"4","ARIZONA"
2007,3,,"4","ARIZONA"
2007,4,4,"4","ARIZONA"
2007,5,4,"4","ARIZONA"
2007,6,4,"4","ARIZONA"
2007,7,4,"4","ARIZONA"
2007,8,4,"4","ARIZONA"
2007,9,4,"4","ARIZONA"
2007,10,,"4","ARIZONA"
2007,11,,"4","ARIZONA"
2007,12,,"4","ARIZONA"
2008,1,4,"11","ARIZONA"
2008,2,4,"11","ARIZONA"
2008,3,30,"11","ARIZONA"
2008,4,32,"11","ARIZONA"
2008,5,18,"11","ARIZONA"
2008,6,6,"11","ARIZONA"
2008,7,6,"11","ARIZONA"
2008,8,5,"11","ARIZONA"
2008,9,5,"11","ARIZONA"
2008,10,5,"11","ARIZONA"
2008,11,5,"11","ARIZONA"
2008,12,7,"11","ARIZONA"
2009,1,,"","ARIZONA"
2009,2,,"","ARIZONA"
2009,3,,"","ARIZONA"
2009,4,,"","ARIZONA"
2009,5,,"","ARIZONA"
2009,6,,"","ARIZONA"
2009,7,,"","ARIZONA"
2009,8,,"","ARIZONA"
2009,9,,"","ARIZONA"
2009,10,,"","ARIZONA"
2009,11,,"","ARIZONA"
2009,12,,"","ARIZONA"
2010,1,17,"20","ARIZONA"
2010,2,17,"20","ARIZONA"
2010,3,17,"20","ARIZONA"
2010,4,15,"20","ARIZONA"
2010,5,16,"20","ARIZONA"
2010,6,17,"20","ARIZONA"
2010,7,18,"20","ARIZONA"
2010,8,20,"20","ARIZONA"
2010,9,20,"20","ARIZONA"
2010,10,27,"20","ARIZONA"
2010,11,28,"20","ARIZONA"
2010,12,31,"20","ARIZONA"
2011,1,103,"114","ARIZONA"
2011,2,104,"114","ARIZONA"
2011,3,106,"114","ARIZONA"
2011,4,115,"114","ARIZONA"
2011,5,117,"114","ARIZONA"
2011,6,118,"114","ARIZONA"
2011,7,123,"114","ARIZONA"
2011,8,117,"114","ARIZONA"
2011,9,115,"114","ARIZONA"
2011,10,114,"114","ARIZONA"
2011,11,114,"114","ARIZONA"
2011,12,119,"114","ARIZONA"
2012,1,117,"122","ARIZONA"
2012,2,118,"122","ARIZONA"
2012,3,120,"122","ARIZONA"
2012,4,115,"122","ARIZONA"
2012,5,123,"122","ARIZONA"
2012,6,120,"122","ARIZONA"
2012,7,127,"122","ARIZONA"
2012,8,130,"122","ARIZONA"
2012,9,128,"122","ARIZONA"
2012,10,120,"122","ARIZONA"
2012,11,121,"122","ARIZONA"
2012,12,123,"122","ARIZONA"
2013,1,114,"","ARIZONA"
2013,2,113,"","ARIZONA"
2013,3,114,"","ARIZONA"
2013,4,,"","ARIZONA"
2013,5,,"","ARIZONA"
2013,6,,"","ARIZONA"
