NAME,taxRate
Alabama,5.0
Alaska,0.00
Arizona,4.54
Arkansas,6.9
California,12.3
Colorado,0.00
Connecticut,6.7
Delaware,6.6
District of Columbia,8.95
Florida,0.00
Georgia,6.0
Hawaii,11.0
Idaho,7.4
Illinois,0.00
Indiana,0.00
Iowa,8.98
Kansas,4.6
Kentucky,6.0
Louisiana,6.0
Maine,7.95
Maryland,5.75
Massachusetts,0.00
Michigan,0.00
Minnesota,9.85
Mississippi,5.0
Missouri,6.0
Montana,6.9
Nebraska,6.84
Nevada,0.00
New Hampshire,0
New Jersey,8.97
New Mexico,4.9
New York,8.82
North Carolina,0.00
North Dakota,3.22
Ohio,5.333
Oklahoma ,5.25
Oregon,9.9
Pennsylvania,0.00
Rhode Island ,5.99
South Carolina,7.0
South Dakota,0.00
Tennessee,0
Texas,0.00
Utah,0.00
Vermont,8.95
Virginia,5.75
Washington,0.00
West Virginia,6.5
Wisconsin,7.65
Wyoming,0.00
